>>> Running tests for x64.release
Total: 3102 tests
 *  309 tests will be skipped
 *    4 tests are expected to timeout sometimes
 *    2 tests are expected to be flaky but not crash
 * 2736 tests are expected to pass
 *    0 tests are expected to fail that we won't fix
 *    7 tests are expected to fail that we should fix
No connection to distribution server; running tests locally.
Running 2762 tests
Done running mjsunit/object-literal-conversions: pass
Done running mjsunit/object-literal-multiple-fields: FAIL
Done running mjsunit/object-literal-multiple-proto-fields: pass
Done running mjsunit/object-literal: FAIL
Done running mjsunit/object-seal-global: pass
Done running mjsunit/object-toprimitive: FAIL
Done running mjsunit/override-read-only-property: FAIL
Done running mjsunit/parse-int-float: FAIL
Done running mjsunit/parse-surrogates: pass
Done running mjsunit/preparse-toplevel-strict-eval: CRASH
Done running mjsunit/primitive-keyed-access: FAIL
Done running mjsunit/print: FAIL
Done running mjsunit/property-load-across-eval: FAIL
Done running mjsunit/property-name-eval-arguments: pass
Done running mjsunit/property-object-key: pass
Done running mjsunit/proto-accessor: FAIL
Done running mjsunit/proto: pass
Done running mjsunit/prototype: pass
Done running mjsunit/readonly-accessor: pass
Done running mjsunit/receiver-in-with-calls: pass
Done running mjsunit/regexp-UC16: pass
Done running mjsunit/regexp-call-as-function: pass
Done running mjsunit/regexp-capture-3: FAIL
Done running mjsunit/regexp-capture: pass
Done running mjsunit/regexp-captures: pass
Done running mjsunit/regexp-global: FAIL
Done running mjsunit/regexp-indexof: FAIL
Done running mjsunit/regexp-lastIndex: FAIL
Done running mjsunit/regexp-loop-capture: pass
Done running mjsunit/regexp-multiline: pass
Done running mjsunit/regexp-regexpexec: pass
Done running mjsunit/regexp-results-cache: pass
Done running mjsunit/regexp-sort: pass
Done running mjsunit/regexp-standalones: pass
Done running mjsunit/regexp-static: FAIL
Done running mjsunit/regexp-string-methods: pass
Done running mjsunit/regexp: FAIL
Done running mjsunit/result-table-max: pass
Done running mjsunit/result-table-min: pass
Done running mjsunit/scanner: pass
Done running mjsunit/scope-calls-eval: FAIL
Done running mjsunit/search-string-multiple: pass
Done running mjsunit/serialize-embedded-error: FAIL
Done running mjsunit/short-circuit-boolean: pass
Done running mjsunit/simple-constructor: pass
Done running mjsunit/smi-negative-zero: pass
Done running mjsunit/smi-ops: FAIL
Done running mjsunit/sparse-array-reverse: pass
Done running mjsunit/sparse-array: pass
Done running mjsunit/str-to-num: pass
Done running mjsunit/stress-array-push: pass
Done running mjsunit/strict-equals: pass
Done running mjsunit/strict-mode-eval: pass
Done running mjsunit/strict-mode: FAIL
Done running mjsunit/string-add: pass
Done running mjsunit/string-charat: pass
Done running mjsunit/string-compare-alignment: pass
Done running mjsunit/string-concat: pass
Done running mjsunit/string-flatten: pass
Done running mjsunit/string-indexof-1: FAIL
Done running mjsunit/string-indexof-2: pass
Done running mjsunit/string-lastindexof: pass
Done running mjsunit/string-localecompare: pass
Done running mjsunit/string-match: FAIL
Done running mjsunit/string-oom-array-join: FAIL
Done running mjsunit/string-oom-concat: CRASH
Done running mjsunit/string-oom-replace-global-regexp-with-string: FAIL
Done running mjsunit/string-oom-replace-regexp-global-with-function: FAIL
Done running mjsunit/string-replace-gc: pass
Done running mjsunit/string-replace-one-char: pass
Done running mjsunit/string-replace: FAIL
Done running mjsunit/string-search: pass
Done running mjsunit/string-slices-regexp: FAIL
Done running mjsunit/string-split-cache: pass
Done running mjsunit/string-split: FAIL
Done running mjsunit/string-wrapper: FAIL
Done running mjsunit/substr: FAIL
Done running mjsunit/this-dynamic-lookup: pass
Done running mjsunit/this-in-callbacks: pass
Done running mjsunit/this-property-assignment: pass
Done running mjsunit/this: pass
Done running mjsunit/throw-and-catch-function: pass
Done running mjsunit/throw-exception-for-null-access: pass
Done running mjsunit/to-precision: pass
Done running mjsunit/to_number_order: FAIL
Done running mjsunit/tobool: pass
Done running mjsunit/toint32: pass
Done running mjsunit/top-level-assignments: pass
Done running mjsunit/touint32: pass
Done running mjsunit/transcendentals: pass
Done running mjsunit/try-catch-extension-object: pass
Done running mjsunit/try-catch-scopes: pass
Done running mjsunit/try-finally-continue: pass
Done running mjsunit/try-finally-nested: pass
Done running mjsunit/typeof: pass
Done running mjsunit/undeletable-functions: pass
Done running mjsunit/unicode-case-overoptimization: pass
Done running mjsunit/unicode-string-to-number: pass
Done running mjsunit/unicode-test: pass
Done running mjsunit/unicodelctest: pass
Done running mjsunit/unused-context-in-with: pass
Done running mjsunit/unusual-constructor: pass
Done running mjsunit/uri: pass
Done running mjsunit/value-callic-prototype-change: pass
Done running mjsunit/value-of: pass
Done running mjsunit/value-wrapper: pass
Done running mjsunit/var: pass
Done running mjsunit/whitespaces: pass
Done running mjsunit/with-function-expression: pass
Done running mjsunit/with-leave: FAIL
Done running mjsunit/with-parameter-access: pass
Done running mjsunit/with-prototype: pass
Done running mjsunit/with-readonly: pass
Done running mjsunit/with-value: pass
Done running mjsunit/asm/b5528-comma: FAIL
Done running mjsunit/asm/do-while-false: pass
Done running mjsunit/asm/do-while: pass
Done running mjsunit/asm/float32array-negative-offset: pass
Done running mjsunit/asm/float32array-outofbounds: pass
Done running mjsunit/asm/float32array-store-div: pass
Done running mjsunit/asm/float64array-negative-offset: pass
Done running mjsunit/asm/float64array-outofbounds: pass
Done running mjsunit/asm/float64array-store-div: pass
Done running mjsunit/asm/float64mul: pass
Done running mjsunit/asm/if-cloning: pass
Done running mjsunit/asm/if-folding: pass
Done running mjsunit/asm/if-reduction: pass
Done running mjsunit/asm/if-tonumber: pass
Done running mjsunit/asm/infinite-loops-taken: pass
Done running mjsunit/asm/infinite-loops: pass
Done running mjsunit/asm/int16array-negative-offset: pass
Done running mjsunit/asm/int16array-outofbounds: pass
Done running mjsunit/asm/int32-div: pass
Done running mjsunit/asm/int32-mod: pass
Done running mjsunit/asm/int32-mul: pass
Done running mjsunit/asm/int32-tmod: pass
Done running mjsunit/asm/int32-udiv: pass
Done running mjsunit/asm/int32-umod: pass
Done running mjsunit/asm/int32array-constant-key: pass
Done running mjsunit/asm/int32array-negative-offset: pass
Done running mjsunit/asm/int32array-outofbounds: pass
Done running mjsunit/asm/int32array-unaligned: pass
Done running mjsunit/asm/int32div: pass
Done running mjsunit/asm/int32mod-constant: pass
Done running mjsunit/asm/int32mod: pass
Done running mjsunit/asm/int32modb: pass
Done running mjsunit/asm/int8array-negative-offset: pass
Done running mjsunit/asm/math-abs: pass
Done running mjsunit/asm/math-ceil: pass
Done running mjsunit/asm/math-clz32: FAIL
Done running mjsunit/asm/math-floor: pass
Done running mjsunit/asm/pointer-masking: FAIL
Done running mjsunit/asm/regress-641885: pass
Done running mjsunit/asm/regress-660813: FAIL
Done running mjsunit/asm/regress-669899: pass
Done running mjsunit/asm/regress-676573: pass
Done running mjsunit/asm/sign-extend: pass
Done running mjsunit/asm/switch: pass
Done running mjsunit/asm/uint32-less-than-shift: pass
Done running mjsunit/asm/uint32div: pass
Done running mjsunit/asm/uint32mod-constant: pass
Done running mjsunit/asm/uint32mod: pass
Done running mjsunit/asm/uint8array-outofbounds: pass
Done running mjsunit/asm/word32and: pass
Done running mjsunit/asm/word32ror: pass
Done running mjsunit/asm/zero-extend: pass
Done running mjsunit/bugs/bug-1344252: pass
Done running mjsunit/bugs/bug-222: pass
Done running mjsunit/bugs/bug-617: pass
Done running mjsunit/bugs/bug-941049: pass
Done running mjsunit/bugs/bug-proto: pass
Done running mjsunit/compiler/alloc-number: pass
Done running mjsunit/compiler/array-access: pass
Done running mjsunit/compiler/assignment: pass
Done running mjsunit/compiler/binary-ops: pass
Done running mjsunit/compiler/call-keyed: pass
Done running mjsunit/compiler/compare: pass
Done running mjsunit/compiler/complex-for-in: pass
Done running mjsunit/compiler/control-flow-0: pass
Done running mjsunit/compiler/control-flow-1: pass
Done running mjsunit/compiler/control-flow-2: pass
Done running mjsunit/compiler/countoperation: pass
Done running mjsunit/compiler/dead-code: pass
Done running mjsunit/compiler/dead-code2: pass
Done running mjsunit/compiler/dead-code3: pass
Done running mjsunit/compiler/dead-code4: pass
Done running mjsunit/compiler/dead-code5: pass
Done running mjsunit/compiler/dead-string-add: pass
Done running mjsunit/compiler/delete: pass
Done running mjsunit/compiler/for-stmt: pass
Done running mjsunit/compiler/function-call: pass
Done running mjsunit/compiler/generic-add: pass
Done running mjsunit/compiler/global-accessors: pass
Done running mjsunit/compiler/globals: pass
Done running mjsunit/compiler/inline-conditional: pass
Done running mjsunit/compiler/inline-dead-jscreate: pass
Done running mjsunit/compiler/lazy-iife-no-parens: pass
Done running mjsunit/compiler/literals-assignment: pass
Done running mjsunit/compiler/literals: pass
Done running mjsunit/compiler/logical-and: pass
Done running mjsunit/compiler/logical-or: pass
Done running mjsunit/compiler/loopcount: pass
Done running mjsunit/compiler/loops: pass
Done running mjsunit/compiler/named-load: pass
Done running mjsunit/compiler/named-store: pass
Done running mjsunit/compiler/null-compare: pass
Done running mjsunit/compiler/objectliterals: FAIL
Done running mjsunit/compiler/osr-uint32: pass
Done running mjsunit/compiler/property-simple: pass
Done running mjsunit/compiler/regress-0: pass
Done running mjsunit/compiler/regress-1: pass
Done running mjsunit/compiler/regress-2: pass
Done running mjsunit/compiler/regress-3: pass
Done running mjsunit/compiler/regress-3136962: pass
Done running mjsunit/compiler/regress-3185901: pass
Done running mjsunit/compiler/regress-3249650: pass
Done running mjsunit/compiler/regress-3260426: pass
Done running mjsunit/compiler/regress-3786: FAIL
Done running mjsunit/compiler/regress-3812: pass
Done running mjsunit/compiler/regress-4: pass
Done running mjsunit/compiler/regress-416359: pass
Done running mjsunit/compiler/regress-4206: pass
Done running mjsunit/compiler/regress-439743: pass
Done running mjsunit/compiler/regress-443744: pass
Done running mjsunit/compiler/regress-444508: pass
Done running mjsunit/compiler/regress-444695: pass
Done running mjsunit/compiler/regress-445267: pass
Done running mjsunit/compiler/regress-445858: pass
Done running mjsunit/compiler/regress-445859: pass
Done running mjsunit/compiler/regress-445907: FAIL
Done running mjsunit/compiler/regress-446156: pass
Done running mjsunit/compiler/regress-446778: pass
Done running mjsunit/compiler/regress-452427: pass
Done running mjsunit/compiler/regress-463056: pass
Done running mjsunit/compiler/regress-468162: pass
Done running mjsunit/compiler/regress-5: pass
Done running mjsunit/compiler/regress-572409: pass
Done running mjsunit/compiler/regress-6: pass
Done running mjsunit/compiler/regress-625966: pass
Done running mjsunit/compiler/regress-628516: pass
Done running mjsunit/compiler/regress-630611: pass
Done running mjsunit/compiler/regress-644633: pass
Done running mjsunit/compiler/regress-674469: pass
Done running mjsunit/compiler/regress-7: pass
Done running mjsunit/compiler/regress-8: pass
Done running mjsunit/compiler/regress-arrayliteral: pass
Done running mjsunit/compiler/regress-bit-number-constant: pass
Done running mjsunit/compiler/regress-deopt-call-as-function: pass
Done running mjsunit/compiler/regress-gap: pass
Done running mjsunit/compiler/regress-int32array-outofbounds-nan: pass
Done running mjsunit/compiler/regress-loop-deopt: pass
Done running mjsunit/compiler/regress-register-allocator: pass
Done running mjsunit/compiler/regress-register-allocator2: pass
Done running mjsunit/compiler/regress-register-allocator3: pass
Done running mjsunit/compiler/regress-serialized-slots: pass
Done running mjsunit/compiler/short-circuit: pass
Done running mjsunit/compiler/simple-bailouts: pass
Done running mjsunit/compiler/simple-binary-op: pass
Done running mjsunit/compiler/simple-global-access: pass
Done running mjsunit/compiler/this-property-refs: pass
Done running mjsunit/compiler/thisfunction: pass
Done running mjsunit/compiler/to-fast-properties: pass
Done running mjsunit/compiler/unary-add: pass
Done running mjsunit/compiler/variables: pass
Done running mjsunit/es6/array-concat-revoked-proxy-1: FAIL
Done running mjsunit/es6/array-concat-revoked-proxy-2: FAIL
Done running mjsunit/es6/array-concat: FAIL
Done running mjsunit/es6/array-copywithin: FAIL
Done running mjsunit/es6/array-fill: FAIL
Done running mjsunit/es6/array-find: FAIL
Done running mjsunit/es6/array-findindex: FAIL
Done running mjsunit/es6/array-from: FAIL
Done running mjsunit/es6/array-length: FAIL
Done running mjsunit/es6/array-of: FAIL
Done running mjsunit/es6/array-reverse-order: pass
Done running mjsunit/es6/array-species-neg-zero: FAIL
Done running mjsunit/es6/array-species: FAIL
Done running mjsunit/es6/array-tostring: CRASH
Done running mjsunit/es6/arraybuffer-species: FAIL
Done running mjsunit/es6/arrow-functions-lexical-arguments: FAIL
Done running mjsunit/es6/arrow-functions-this: FAIL
Done running mjsunit/es6/arrow-functions: FAIL
Done running mjsunit/es6/arrow-rest-params-lazy-parsing: FAIL
Done running mjsunit/es6/arrow-rest-params: FAIL
Done running mjsunit/es6/block-conflicts-sloppy: FAIL
Done running mjsunit/es6/block-conflicts: FAIL
Done running mjsunit/es6/block-const-assign-sloppy: FAIL
Done running mjsunit/es6/block-const-assign: FAIL
Done running mjsunit/es6/block-eval-var-over-let: FAIL
Done running mjsunit/es6/block-for-sloppy: FAIL
Done running mjsunit/es6/block-for: FAIL
Done running mjsunit/es6/block-leave-sloppy: FAIL
Done running mjsunit/es6/block-leave: FAIL
Done running mjsunit/es6/block-let-contextual-sloppy: FAIL
Done running mjsunit/es6/block-let-declaration-sloppy: FAIL
Done running mjsunit/es6/block-let-declaration: FAIL
Done running mjsunit/es6/block-let-semantics-sloppy: FAIL
Done running mjsunit/es6/block-let-semantics: FAIL
Done running mjsunit/es6/block-scope-class: FAIL
Done running mjsunit/es6/block-scoping-top-level-sloppy: FAIL
Done running mjsunit/es6/block-scoping-top-level: FAIL
Done running mjsunit/es6/block-sloppy-function: FAIL
Done running mjsunit/es6/built-in-accessor-names: FAIL
Done running mjsunit/es6/catch-parameter-redeclaration: FAIL
Done running mjsunit/es6/class-property-name-eval-arguments: FAIL
Done running mjsunit/es6/classes-derived-return-type: FAIL
Done running mjsunit/es6/classes-experimental: FAIL
Done running mjsunit/es6/classes-lazy-parsing: FAIL
Done running mjsunit/es6/classes-subclass-arrays: FAIL
Done running mjsunit/es6/classes-super: FAIL
Done running mjsunit/es6/completion: FAIL
Done running mjsunit/es6/computed-property-names-classes: FAIL
Done running mjsunit/es6/computed-property-names-object-literals-methods: FAIL
Done running mjsunit/es6/computed-property-names: FAIL
Done running mjsunit/es6/default-parameters-destructuring: FAIL
Done running mjsunit/es6/default-parameters: FAIL
Done running mjsunit/es6/destructuring-assignment-lazy: FAIL
Done running mjsunit/es6/destructuring-assignment: FAIL
Done running mjsunit/es6/destructuring: FAIL
Done running mjsunit/es6/empty-for: FAIL
Done running mjsunit/es6/for-each-in-catch: FAIL
Done running mjsunit/es6/for-of: FAIL
Done running mjsunit/es6/function-length-configurable: FAIL
Done running mjsunit/es6/function-name-configurable: FAIL
Done running mjsunit/es6/function-name: FAIL
Done running mjsunit/es6/function-prototype-name: FAIL
Done running mjsunit/es6/generator-destructuring: FAIL
Done running mjsunit/es6/generators-parsing: FAIL
Done running mjsunit/es6/generators-poisoned-properties: FAIL
Done running mjsunit/es6/generators-runtime: FAIL
Done running mjsunit/es6/generators-states: FAIL
Done running mjsunit/es6/hasinstance-symbol: FAIL
Done running mjsunit/es6/instanceof: FAIL
Done running mjsunit/es6/iteration-semantics: FAIL
Done running mjsunit/es6/iteration-syntax: FAIL
Done running mjsunit/es6/iterator-close: FAIL
Done running mjsunit/es6/iterator-prototype: FAIL
Done running mjsunit/es6/json: FAIL
Done running mjsunit/es6/map-minus-zero: FAIL
Done running mjsunit/es6/math-cbrt: FAIL
Done running mjsunit/es6/math-hypot: FAIL
Done running mjsunit/es6/math-log1p: FAIL
Done running mjsunit/es6/math-sign: FAIL
Done running mjsunit/es6/math: FAIL
Done running mjsunit/es6/method-name-eval-arguments: FAIL
Done running mjsunit/es6/new-target: FAIL
Done running mjsunit/es6/numeric-literals: FAIL
Done running mjsunit/es6/object-assign: FAIL
Done running mjsunit/es6/object-literals-property-shorthand: FAIL
Done running mjsunit/es6/object-tostring: FAIL
Done running mjsunit/es6/pattern-brand-check: FAIL
Done running mjsunit/es6/promise-internal-setter: FAIL
Done running mjsunit/es6/promise-lookup-getter-setter: FAIL
Done running mjsunit/es6/prototype-ordinary-objects: FAIL
Done running mjsunit/es6/proxies-accesschecks: FAIL
Done running mjsunit/es6/proxies-apply: FAIL
Done running mjsunit/es6/proxies-bind: FAIL
Done running mjsunit/es6/proxies-construct: FAIL
Done running mjsunit/es6/proxies-define-property: FAIL
Done running mjsunit/es6/proxies-delete-property: FAIL
Done running mjsunit/es6/proxies-example-membrane: FAIL
Done running mjsunit/es6/proxies-for: FAIL
Done running mjsunit/es6/proxies-get-own-property-descriptor: FAIL
Done running mjsunit/es6/proxies-get-prototype-of: FAIL
Done running mjsunit/es6/proxies-global-reference: FAIL
Done running mjsunit/es6/proxies-has-own-property: FAIL
Done running mjsunit/es6/proxies-has: FAIL
Done running mjsunit/es6/proxies-hash: FAIL
Done running mjsunit/es6/proxies-integrity: FAIL
Done running mjsunit/es6/proxies-is-extensible: FAIL
Done running mjsunit/es6/proxies-json: FAIL
Done running mjsunit/es6/proxies-keys: FAIL
Done running mjsunit/es6/proxies-object-assign: FAIL
Done running mjsunit/es6/proxies-ownkeys: FAIL
Done running mjsunit/es6/proxies-prevent-extensions: FAIL
Done running mjsunit/es6/proxies-property-is-enumerable: FAIL
Done running mjsunit/es6/proxies-prototype-target-stackoverflow: FAIL
Done running mjsunit/es6/proxies-revocable: FAIL
Done running mjsunit/es6/proxies-set-prototype-of: FAIL
Done running mjsunit/es6/proxies-set: FAIL
Done running mjsunit/es6/proxies-with-unscopables: FAIL
Done running mjsunit/es6/proxies-with: FAIL
Done running mjsunit/es6/reflect-apply: FAIL
Done running mjsunit/es6/reflect-get-own-property-descriptor: FAIL
Done running mjsunit/es6/reflect-get-prototype-of: FAIL
Done running mjsunit/es6/reflect-own-keys: FAIL
Done running mjsunit/es6/reflect-set-prototype-of: FAIL
Done running mjsunit/es6/reflect: FAIL
Done running mjsunit/es6/regexp-constructor: FAIL
Done running mjsunit/es6/regexp-flags: FAIL
Done running mjsunit/es6/regexp-match-lastindex: FAIL
Done running mjsunit/es6/regexp-prototype: pass
Done running mjsunit/es6/regexp-replace-lastindex: pass
Done running mjsunit/es6/regexp-sticky: FAIL
Done running mjsunit/es6/regexp-tolength: FAIL
Done running mjsunit/es6/regexp-tostring: FAIL
Done running mjsunit/es6/rest-params: FAIL
Done running mjsunit/es6/set-minus-zero: FAIL
Done running mjsunit/es6/sloppy-restrictive-block-function: FAIL
Done running mjsunit/es6/species: FAIL
Done running mjsunit/es6/spread-call-new-class: FAIL
Done running mjsunit/es6/spread-call-new: FAIL
Done running mjsunit/es6/spread-call-super-property: FAIL
Done running mjsunit/es6/spread-call: FAIL
Done running mjsunit/es6/string-codepointat: FAIL
Done running mjsunit/es6/string-endswith: FAIL
Done running mjsunit/es6/string-fromcodepoint: FAIL
Done running mjsunit/es6/string-html: FAIL
Done running mjsunit/es6/string-includes: FAIL
Done running mjsunit/es6/string-iterator: FAIL
Done running mjsunit/es6/string-match: FAIL
Done running mjsunit/es6/string-raw: FAIL
Done running mjsunit/es6/string-repeat: FAIL
Done running mjsunit/es6/string-replace: FAIL
Done running mjsunit/es6/string-search: FAIL
Done running mjsunit/es6/string-split: FAIL
Done running mjsunit/es6/string-startswith: FAIL
